assunto;nome;fase;projetista;path;tipo_doc;obra;trecho;codigo;materia;materia_num;pagina;revisao;rev_num;rev_suf;revisao_status;tipo_arquivo
Drenagem - Planta   ;DE-SPM00021D-115.117-925-H04/001;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-H04_001.R2a.dwg;DE;SPM00021D;115.117;925;H;04;001;R2a;2;a;NOVO;dwg
Drenagem - Planta   ;DE-SPM00021D-115.117-925-H04/001;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-H04_001.R2a.pdf;DE;SPM00021D;115.117;925;H;04;001;R2a;2;a;NOVO;pdf
Drenagem - Planta   ;DE-SPM00021D-115.117-925-H04/002;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-H04_002.R2a.dwg;DE;SPM00021D;115.117;925;H;04;002;R2a;2;a;NOVO;dwg
Drenagem - Planta   ;DE-SPM00021D-115.117-925-H04/002;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-H04_002.R2a.pdf;DE;SPM00021D;115.117;925;H;04;002;R2a;2;a;NOVO;pdf
Drenagem - Planta   ;DE-SPM00021D-115.117-925-H04/003;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-H04_003.R2a.dwg;DE;SPM00021D;115.117;925;H;04;003;R2a;2;a;NOVO;dwg
Drenagem - Planta   ;DE-SPM00021D-115.117-925-H04/003;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-H04_003.R2a.pdf;DE;SPM00021D;115.117;925;H;04;003;R2a;2;a;NOVO;pdf
;DE-SPM00021D-115.117-925-H04/004;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-H04_004.R0a.dwg;DE;SPM00021D;115.117;925;H;04;004;R0a;0;a;NOVO;dwg
;DE-SPM00021D-115.117-925-H04/004;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-H04_004.R0a.pdf;DE;SPM00021D;115.117;925;H;04;004;R0a;0;a;NOVO;pdf
Drenagem - Perfis de bueiros;DE-SPM00021D-115.117-925-H06/001;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-H06_001.R2a.dwg;DE;SPM00021D;115.117;925;H;06;001;R2a;2;a;NOVO;dwg
Drenagem - Perfis de bueiros;DE-SPM00021D-115.117-925-H06/001;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-H06_001.R2a.pdf;DE;SPM00021D;115.117;925;H;06;001;R2a;2;a;NOVO;pdf
Drenagem - Perfis de bueiros;DE-SPM00021D-115.117-925-H06/004;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-H06_004.R1b.dwg;DE;SPM00021D;115.117;925;H;06;004;R1b;1;b;NOVO;dwg
Drenagem - Perfis de bueiros;DE-SPM00021D-115.117-925-H06/004;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-H06_004.R1b.pdf;DE;SPM00021D;115.117;925;H;06;004;R1b;1;b;NOVO;pdf
Drenagem - Perfis de bueiros;DE-SPM00021D-115.117-925-H06/013;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-H06_013.R2a.dwg;DE;SPM00021D;115.117;925;H;06;013;R2a;2;a;NOVO;dwg
Drenagem - Perfis de bueiros;DE-SPM00021D-115.117-925-H06/013;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-H06_013.R2a.pdf;DE;SPM00021D;115.117;925;H;06;013;R2a;2;a;NOVO;pdf
Drenagem - Perfis de bueiros;DE-SPM00021D-115.117-925-H06/014;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-H06_014.R2a.dwg;DE;SPM00021D;115.117;925;H;06;014;R2a;2;a;NOVO;dwg
Drenagem - Perfis de bueiros;DE-SPM00021D-115.117-925-H06/014;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-H06_014.R2a.pdf;DE;SPM00021D;115.117;925;H;06;014;R2a;2;a;NOVO;pdf
Drenagem - Perfis de bueiros;DE-SPM00021D-115.117-925-H06/015;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-H06_015.R2a.dwg;DE;SPM00021D;115.117;925;H;06;015;R2a;2;a;NOVO;dwg
Drenagem - Perfis de bueiros;DE-SPM00021D-115.117-925-H06/015;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-H06_015.R2a.pdf;DE;SPM00021D;115.117;925;H;06;015;R2a;2;a;NOVO;pdf
;DE-SPM00021D-115.117-925-H06/016;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-H06_016.R0a.dwg;DE;SPM00021D;115.117;925;H;06;016;R0a;0;a;NOVO;dwg
;DE-SPM00021D-115.117-925-H06/016;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-H06_016.R0a.pdf;DE;SPM00021D;115.117;925;H;06;016;R0a;0;a;NOVO;pdf
Córrego Itaim - Planta de alagamento;DE-SPM00021D-115.117-925-H01/104;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/ESTUDO HIDROLÓGICO/DE-SPM00021D-115.117-925-H01_104.R1a.dwg;DE;SPM00021D;115.117;925;H;01;104;R1a;1;a;NOVO;dwg
Córrego Itaim - Planta de alagamento;DE-SPM00021D-115.117-925-H01/104;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/ESTUDO HIDROLÓGICO/DE-SPM00021D-115.117-925-H01_104.R1a.pdf;DE;SPM00021D;115.117;925;H;01;104;R1a;1;a;NOVO;pdf
;DE-SPM00021D-115.117-925-H01/105;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/ESTUDO HIDROLÓGICO/DE-SPM00021D-115.117-925-H01_105.R1a.dwg;DE;SPM00021D;115.117;925;H;01;105;R1a;1;a;NOVO;dwg
;DE-SPM00021D-115.117-925-H01/105;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/ESTUDO HIDROLÓGICO/DE-SPM00021D-115.117-925-H01_105.R1a.pdf;DE;SPM00021D;115.117;925;H;01;105;R1a;1;a;NOVO;pdf
Drenagem - Estudos hidrológicos e hidráulicos;RT-SPM00021D-115.117-925-H01/101;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/ESTUDO HIDROLÓGICO/RT-SPM00021D-115.117-925-H01_101.R2a.docx;RT;SPM00021D;115.117;925;H;01;101;R2a;2;a;NOVO;docx
Drenagem - Estudos hidrológicos e hidráulicos;RT-SPM00021D-115.117-925-H01/101;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/ESTUDO HIDROLÓGICO/RT-SPM00021D-115.117-925-H01_101.R2a.pdf;RT;SPM00021D;115.117;925;H;01;101;R2a;2;a;NOVO;pdf
Memória de cálculo de drenagem;MC-SPM00021D-115.117-925-H04/001;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/MC-SPM00021D-115.117-925-H04_001.R2a.doc;MC;SPM00021D;115.117;925;H;04;001;R2a;2;a;NOVO;doc
Memória de cálculo de drenagem;MC-SPM00021D-115.117-925-H04/001;Fase 3;CANHEDO;CANHEDO/FASE 03/03-Projeto de Drenagem/REVISÃO - ESTUDO DE TRÁFEGO/MC-SPM00021D-115.117-925-H04_001.R2a.pdf;MC;SPM00021D;115.117;925;H;04;001;R2a;2;a;NOVO;pdf
Implantação - Planta, elevação e sondagens - apoios 1 a 11;AB-SPM00021D-115.117-925-C01/301;Fase 3;ENESCIL;ENESCIL/ALARGAMENTO DO RAMO 200 - FASE 3/AB-SPM00021D-115.117-925-C01_301.R1.dwg;AB;SPM00021D;115.117;925;C;01;301;R1;1;;NOVO;dwg
Implantação - Planta, elevação e sondagens - apoios 1 a 11;AB-SPM00021D-115.117-925-C01/301;Fase 3;ENESCIL;ENESCIL/ALARGAMENTO DO RAMO 200 - FASE 3/AB-SPM00021D-115.117-925-C01_301.R1.pdf;AB;SPM00021D;115.117;925;C;01;301;R1;1;;NOVO;pdf
Formas - Seções e detalhes dos apoios 22 a 24;AB-SPM00021D-115.117-925-C01/317;Fase 3;ENESCIL;ENESCIL/ALARGAMENTO DO RAMO 200 - FASE 3/AB-SPM00021D-115.117-925-C01_317.R0.dwg;AB;SPM00021D;115.117;925;C;01;317;R0;0;;NOVO;dwg
Formas - Seções e detalhes dos apoios 22 a 24;AB-SPM00021D-115.117-925-C01/317;Fase 3;ENESCIL;ENESCIL/ALARGAMENTO DO RAMO 200 - FASE 3/AB-SPM00021D-115.117-925-C01_317.R0.pdf;AB;SPM00021D;115.117;925;C;01;317;R0;0;;NOVO;pdf
Formas - Seções e detalhes do apoio 25;AB-SPM00021D-115.117-925-C01/318;Fase 3;ENESCIL;ENESCIL/ALARGAMENTO DO RAMO 200 - FASE 3/AB-SPM00021D-115.117-925-C01_318.R0.dwg;AB;SPM00021D;115.117;925;C;01;318;R0;0;;NOVO;dwg
Formas - Seções e detalhes do apoio 25;AB-SPM00021D-115.117-925-C01/318;Fase 3;ENESCIL;ENESCIL/ALARGAMENTO DO RAMO 200 - FASE 3/AB-SPM00021D-115.117-925-C01_318.R0.pdf;AB;SPM00021D;115.117;925;C;01;318;R0;0;;NOVO;pdf
Armadura das travessas dos apoios 22 a 25 (ap. 25 diferente);AB-SPM00021D-115.117-925-C01/335;Fase 3;ENESCIL;ENESCIL/ALARGAMENTO DO RAMO 200 - FASE 3/AB-SPM00021D-115.117-925-C01_335.R0.dwg;AB;SPM00021D;115.117;925;C;01;335;R0;0;;NOVO;dwg
Armadura das travessas dos apoios 22 a 25 (ap. 25 diferente);AB-SPM00021D-115.117-925-C01/335;Fase 3;ENESCIL;ENESCIL/ALARGAMENTO DO RAMO 200 - FASE 3/AB-SPM00021D-115.117-925-C01_335.R0.pdf;AB;SPM00021D;115.117;925;C;01;335;R0;0;;NOVO;pdf
Armadura da viga de 12.10m;AB-SPM00021D-115.117-925-C01/336;Fase 3;ENESCIL;ENESCIL/ALARGAMENTO DO RAMO 200 - FASE 3/AB-SPM00021D-115.117-925-C01_336.R0.dwg;AB;SPM00021D;115.117;925;C;01;336;R0;0;;NOVO;dwg
Armadura da viga de 12.10m;AB-SPM00021D-115.117-925-C01/336;Fase 3;ENESCIL;ENESCIL/ALARGAMENTO DO RAMO 200 - FASE 3/AB-SPM00021D-115.117-925-C01_336.R0.pdf;AB;SPM00021D;115.117;925;C;01;336;R0;0;;NOVO;pdf
Armadura da viga de 11.64m (V1.2 / vão 1);AB-SPM00021D-115.117-925-C01/337;Fase 3;ENESCIL;ENESCIL/ALARGAMENTO DO RAMO 200 - FASE 3/AB-SPM00021D-115.117-925-C01_337.R0.dwg;AB;SPM00021D;115.117;925;C;01;337;R0;0;;NOVO;dwg
Armadura da viga de 11.64m (V1.2 / vão 1);AB-SPM00021D-115.117-925-C01/337;Fase 3;ENESCIL;ENESCIL/ALARGAMENTO DO RAMO 200 - FASE 3/AB-SPM00021D-115.117-925-C01_337.R0.pdf;AB;SPM00021D;115.117;925;C;01;337;R0;0;;NOVO;pdf
Armadura da viga de 11.26m (V1.3 / vão 1);AB-SPM00021D-115.117-925-C01/338;Fase 3;ENESCIL;ENESCIL/ALARGAMENTO DO RAMO 200 - FASE 3/AB-SPM00021D-115.117-925-C01_338.R0.dwg;AB;SPM00021D;115.117;925;C;01;338;R0;0;;NOVO;dwg
Armadura da viga de 11.26m (V1.3 / vão 1);AB-SPM00021D-115.117-925-C01/338;Fase 3;ENESCIL;ENESCIL/ALARGAMENTO DO RAMO 200 - FASE 3/AB-SPM00021D-115.117-925-C01_338.R0.pdf;AB;SPM00021D;115.117;925;C;01;338;R0;0;;NOVO;pdf
Armadura da viga de 12.10m (V1.4 / vão 1);AB-SPM00021D-115.117-925-C01/339;Fase 3;ENESCIL;ENESCIL/ALARGAMENTO DO RAMO 200 - FASE 3/AB-SPM00021D-115.117-925-C01_339.R0.dwg;AB;SPM00021D;115.117;925;C;01;339;R0;0;;NOVO;dwg
Armadura da viga de 12.10m (V1.4 / vão 1);AB-SPM00021D-115.117-925-C01/339;Fase 3;ENESCIL;ENESCIL/ALARGAMENTO DO RAMO 200 - FASE 3/AB-SPM00021D-115.117-925-C01_339.R0.pdf;AB;SPM00021D;115.117;925;C;01;339;R0;0;;NOVO;pdf
;Lista desenhos OAE ENESCIL/20-01-2026;;ENESCIL;ENESCIL/Lista desenhos OAE ENESCIL_20-01-2026.xlsx;Lista desenhos OAE ENESCIL;;;;;;20-01-2026;;0;;NOVO;xlsx
Formas - Seções e detalhes do apoio 11;AB-SPM00021D-115.117-925-C01/716;Fase 3;ENESCIL;ENESCIL/OAE FERRADURA - FASE 3/AB-SPM00021D-115.117-925-C01_716.R0.dwg;AB;SPM00021D;115.117;925;C;01;716;R0;0;;NOVO;dwg
Formas - Seções e detalhes do apoio 11;AB-SPM00021D-115.117-925-C01/716;Fase 3;ENESCIL;ENESCIL/OAE FERRADURA - FASE 3/AB-SPM00021D-115.117-925-C01_716.R0.pdf;AB;SPM00021D;115.117;925;C;01;716;R0;0;;NOVO;pdf
Armadura suplementar da viga pré-moldada 30.28m;AB-SPM00021D-115.117-925-C01/753;Fase 3;ENESCIL;ENESCIL/OAE FERRADURA - FASE 3/AB-SPM00021D-115.117-925-C01_753.R0.dwg;AB;SPM00021D;115.117;925;C;01;753;R0;0;;NOVO;dwg
Armadura suplementar da viga pré-moldada 30.28m;AB-SPM00021D-115.117-925-C01/753;Fase 3;ENESCIL;ENESCIL/OAE FERRADURA - FASE 3/AB-SPM00021D-115.117-925-C01_753.R0.pdf;AB;SPM00021D;115.117;925;C;01;753;R0;0;;NOVO;pdf
Cablagem da viga pré-moldada de 31.06m;AB-SPM00021D-115.117-925-C01/754;Fase 3;ENESCIL;ENESCIL/OAE FERRADURA - FASE 3/AB-SPM00021D-115.117-925-C01_754.R0.dwg;AB;SPM00021D;115.117;925;C;01;754;R0;0;;NOVO;dwg
Cablagem da viga pré-moldada de 31.06m;AB-SPM00021D-115.117-925-C01/754;Fase 3;ENESCIL;ENESCIL/OAE FERRADURA - FASE 3/AB-SPM00021D-115.117-925-C01_754.R0.pdf;AB;SPM00021D;115.117;925;C;01;754;R0;0;;NOVO;pdf
Implantação - Planta, elevação e sondagens - apoios 68 a 74;AB-SPM00021D-114.117-825-C01/008;Fase 2;ENESCIL;ENESCIL/OAE MARGINAL - FASE 02/AB-SPM00021D-114.117-825-C01_008.R3.dwg;AB;SPM00021D;114.117;825;C;01;008;R3;3;;NOVO;dwg
Implantação - Planta, elevação e sondagens - apoios 68 a 74;AB-SPM00021D-114.117-825-C01/008;Fase 2;ENESCIL;ENESCIL/OAE MARGINAL - FASE 02/AB-SPM00021D-114.117-825-C01_008.R3.pdf;AB;SPM00021D;114.117;825;C;01;008;R3;3;;NOVO;pdf
Armadura das estacas raiz dos apoios 53 a 69;AB-SPM00021D-114.117-825-C01/162;Fase 2;ENESCIL;ENESCIL/OAE MARGINAL - FASE 02/AB-SPM00021D-114.117-825-C01_162.R3.dwg;AB;SPM00021D;114.117;825;C;01;162;R3;3;;NOVO;dwg
Armadura das estacas raiz dos apoios 53 a 69;AB-SPM00021D-114.117-825-C01/162;Fase 2;ENESCIL;ENESCIL/OAE MARGINAL - FASE 02/AB-SPM00021D-114.117-825-C01_162.R3.pdf;AB;SPM00021D;114.117;825;C;01;162;R3;3;;NOVO;pdf
Armadura das travessas dos apoios 94 a 104;AB-SPM00021D-114.117-825-C01/283;Fase 2;ENESCIL;ENESCIL/OAE MARGINAL - FASE 02/AB-SPM00021D-114.117-825-C01_283.R0.dwg;AB;SPM00021D;114.117;825;C;01;283;R0;0;;NOVO;dwg
Armadura das travessas dos apoios 94 a 104;AB-SPM00021D-114.117-825-C01/283;Fase 2;ENESCIL;ENESCIL/OAE MARGINAL - FASE 02/AB-SPM00021D-114.117-825-C01_283.R0.pdf;AB;SPM00021D;114.117;825;C;01;283;R0;0;;NOVO;pdf
Armadura das travessas dos apoios 105 a 108 e 110 a 133 e 135 a 149;AB-SPM00021D-114.117-825-C01/284;Fase 2;ENESCIL;ENESCIL/OAE MARGINAL - FASE 02/AB-SPM00021D-114.117-825-C01_284.R0.dwg;AB;SPM00021D;114.117;825;C;01;284;R0;0;;NOVO;dwg
Armadura das travessas dos apoios 105 a 108 e 110 a 133 e 135 a 149;AB-SPM00021D-114.117-825-C01/284;Fase 2;ENESCIL;ENESCIL/OAE MARGINAL - FASE 02/AB-SPM00021D-114.117-825-C01_284.R0.pdf;AB;SPM00021D;114.117;825;C;01;284;R0;0;;NOVO;pdf
